sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
PNA sur le loup, le 25 novembre 2023 à 16h59;No à l’abattage des loups ! Laissez les animaux sauvages vivre tranquille et préservez ainsi le maintien fragile des écosystèmes ! Concentrez plutôt vos efforts sur la protection simple des troupeaux au risque de faire disparaître les mammifères qui peuplent nos espaces sauvages !;;;;;;;;;;;;;;;;
avis défavorable, le 25 novembre 2023 à 17h01;Les loups sont une espèce protégée et la France doit se conformer à ses engagements. Des associations œuvrent efficacement pour permettre une cohabitation pacifiée entre les troupeaux et les loups. De vraies solutions respectueuses de la biodiversité existent et devraient être développées.;;;;;;;;;;;;;;;;
Avis défavorable, le 25 novembre 2023 à 17h14;Par ce projet qui assouplit encore plus les tirs de loup,  l’État ne vise pas à faire baisser la prédation sur le bétail, mais clairement de stopper  la croissance  de la population de loups, ce qui est en totale contradiction avec ses engagements internationaux.;;;;;;;;;;;;;;;;
Avis défavorable, le 25 novembre 2023 à 17h20;On ne peut pas prétendre protéger la biodiversité et faciliter le tir d’une espèce protégée en même temps. Le loup est loin d’être en sureffectif, il reste cantonné aux Alpes. Ce serait une honte pour la France que de s’acharner contre une espèce revenue naturellement en France espérant y trouver un accueil chaleureux, au lieu de ça elle reçoit des balles…;;;;;;;;;;;;;;;;
Avis défavorable, le 25 novembre 2023 à 17h25;Avis défavorable. Le loup est une espèce protégée. Il faut prendre en compte l’avis des scientifiques et renforcer la protection des troupeaux.;;;;;;;;;;;;;;;;
Bonnet d’âne pour la France !, le 25 novembre 2023 à 17h40;La France seul pays d’Europe à être encore aussi arriéré en ce qui concerne les prédateurs.  NON évidemment à l’adoption de tels textes.  Il est grand temps de protéger la faune et la flore, de les protéger pour de bons. Et le loup est l’un des fleurons de la faune européenne ! Il est l’équilibre naturel de la faune.  Et comme le dit la légende, le gardien de la forêt.  Nous devons le préserver à tous les prix.;;;;;;;;;;;;;;;;
avis défavorable au projet d’arrêté fixant les dérogations aux interdictions de destruction des loups., le 25 novembre 2023 à 17h54;"Non à l’extension des tirs d’abattage des loups. Les loups sont une espèce classée ""vulnérable"" et protégée. Aucune évaluation des mesures de protection des troupeaux n’est jamais  faite : c’est un élément à privilégier, les tirs létaux ont des alternatives non destructrices et plus efficaces que le massacre organisé d’une espèce diabolisée depuis toujours… Par ailleurs, les dégâts causés par les chiens errants sont attribués systématiquement aux loups, sans aucune preuve.";;;;;;;;;;;;;;;;
AVIS STRICTEMENT DEFAVORABLE , le 25 novembre 2023 à 17h59;Il faut vraiment qu’en France on arrête de tuer les animaux à tout va, à la moindre raison, qu’on les accuse de tous les maux du monde. Nous sommes en 2023  il est temps de changer de comportement et de se mettre à protéger notre biodiversité. Quand on écoute les éleveurs ils accusent les loups de massacres à tout va, il faut vraiment arrêter ces balivernes et mettre en place des solutions propres et efficaces pour TOUS. L’humain s’accapare absolument chaque parcelle de terre, un changement de comportement s’impose : être moins égocentrés et ne pas abattre systématiquement tous les animaux parce que c’est la solution la plus pratique. Le loup est nécessaire à l’équilibre de l’écosystème, qu’on le veuille ou non.  Surtout nous ne sommes pas envahis par les loups !!!;;;;;;;;;;;;;;;;
Une clé de voute des écosystèmes, le 25 novembre 2023 à 18h02;"Le loup est une espèce clé de voute de nos écosystèmes. Il permet de réguler naturellement et efficacement les ongulés, et contribue ainsi à réduire leurs dégâts sur les forêts et les cultures. Il est nécessaire, avant toute autorisation facilitée de destruction du loup, d’organiser et d’adapter le pastoralisme à cette pression nouvelle liée au retour du prédateur naturel. Cette organisation passe par la protection des troupeaux (clôtures, chiens, parcs de nuit) et le renforcement de la garde, recréant une économie pastorale perdue au siècle dernier ! Le loup ne doit pas être perçu comme un ennemi de l’agriculture, mais comme un allié qui participe au maintien du bon état écologique des écosystèmes de montagne, donc des pâturages. Il ne doit pas non plus être vu comme un ennemi de la chasse, car il œuvre dans le même but : ""réguler"" ! Le loup serait-il le premier écologiste de France?";;;;;;;;;;;;;;;;
AVIS STRICTEMENT DÉFAVORABLE, le 25 novembre 2023 à 18h12;Cela suffit de vouloir tuer à tout prix ! Les loups contribuent maintenir l’équilibre des milieux naturels en limitant le développement des populations de cervidés et de sangliers. Les loups sont des auxiliaires de la biodiversité. Qu’en est-il d’un bilan/retour d’expérience sur les mesures de protection des troupeaux ??? Qu’en est-il du renforcement des mesures de contrôle sur la mise en œuvre des mesures de protection des troupeaux ???  Qu’on arrête de mépriser les impacts positifs des loups au sein des écosystèmes !  De plus, il est clair que ce projet ouvre indirectement la porte à une inacceptable augmentation des plafonds d’abattage des loups, espèce pourtant protégée !  STOP !;;;;;;;;;;;;;;;;
Participation citoyenne à la consultation, le 25 novembre 2023 à 18h15;je me prononce a un avis défavorable a ce projet d’arrêté.;;;;;;;;;;;;;;;;
"Opposition au projet d’arrêté ""Loups"", le 25 novembre 2023 à 18h20";Je m’oppose à ce Projet d’arrêté, contraire au Droit.;;;;;;;;;;;;;;;;
Non à ce projet d’arrêté, le 25 novembre 2023 à 18h25;"Bonjour ; Je fais fait partie du réseau national loup-lynx depuis 1999, notamment en Savoie. Si le loup est effectivement un vrai problème pour les bergers, ceux qui vivent avec leurs moutons sur les alpages , il est aussi une bonne source de revenus pour certains éleveurs . En Savoie , en Basse Maurienne, il n’y avait quasiment pas de moutons il y a 30 ans ; maintenant, il en a partout. Les Alpes sont là où l’élevage ovin se porte le mieux en France ; mieux que là où il n’y a pas de loups. J’ai travaillé en collaboration avec l’OFB qui a fait depuis longtemps un excellent travail sur le suivi du loup, travail reconnu en Europe. Les Fédérations de chasseurs ont malheureusement souvent refusé de participer au réseau et les chasseurs locaux ne nous relayaient les infos loup que longtemps après , quand ils ne les passaient pas sous silence. Alors il leur est maintenant facile de venir critiquer les chiffres sur le nombre de loups. Donnez plus de moyens aux scientifiques de l’OFB et moins aux louvetiers . Et quid de la régulation officieuse qui est pratiquée largement, même s’il est difficile à estimer. Il n’est pas normal que des massifs tels les Pyrénées n’aient pas de reproduction loup après plus de 20 ans de présence . Si le fait de limiter le nombre de loups ne me pose pas de problème , je ne suis pas d’accord avec ce projet d’arrêté .";;;;;;;;;;;;;;;;
AVIS DÉFAVORABLE, le 26 novembre 2023 à 19h38;Prenons exemple sur nos voisins italiens qui ont mis en place des moyens de protection, la cohabitation est possible, il suffit de le vouloir….mais tuer est tellement plus simple.;;;;;;;;;;;;;;;;
Sans titre, le 26 novembre 2023 à 19h48;Avis est défavorable en ce qui concerne ce plan. Le loup doit rester protégé pour la Biodiversité et parceque tuer n’a jamais été une bonne solution sirtout que d’autres solutions existent. Prenons exemple sur d’autres pays tels que l’Italie par exemple;;;;;;;;;;;;;;;;
Sans titre, le 26 novembre 2023 à 19h50;Je ne suis pas d’accord., le 26 novembre 2023 à 18h50 Les loups ont autant leur place sur cette planète que tout autre être vivant, laisser vivre les loups ! Il y a des moyens pour que l’on puisse vivre ensemble.;;;;;;;;;;;;;;;;
Avis défavorable , le 26 novembre 2023 à 20h00;Avis défavorable. L espèce humaine devrait plus modeste et la biodiversité n’a pas attendu l humain pour se développer. Nous jouons beaucoup trop aux apprentis sorciers en décidant de vie ou de mort sur les autres espèces et nous avons assez empiété sur les espaces de vie de toutes espèces. A nous de nous adapter en accompagnant notamment les éleveurs. Toute vie est précieuse et fait la richesse de notre planète de notre biodiversité. Le meurtre sur animaux devrait choquer tout être humain tout comme dans les abattoirs, lors des chasses, corridas et autres perversions humaines.;;;;;;;;;;;;;;;;
Consultation publique canis lupus (loup), le 26 novembre 2023 à 20h14;"Madame, Monsieur, J’ai l’honneur parle présent avis d’émettre un AVIS DEFAVORABLE concernant votre Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus). En effet j’attire votre attention sur les points suivants : 1/ Les données que votre Ministère présente pour justifier votre projet d’arrêté sont lacunaires et ne sont justifiées par aucun document en annexe. Aussi, il est demandé aux contributeurs que nous sommes de faire une confiance aveugle à votre administration qui par le passé à de nombreuses fois agit CONTRE les intérêts de la Sauvegarde des Milieux naturels au nom d’Intérêt économiques mal définis.  Le respect du dialogue environnemental voudrait que les chiffres présentés, tant sur les populations de loups que sur les attaques et leur contexte, soient justifiés par des documents permettant réellement au public de comprendre dans quel contexte ce projet d’arrêté a été rédigé. 2/ L’État reste dans une logique de régulation du loup, pour freiner l’expansion de la population. Or, le loup, espèce protégée, devrait faire l’objet d’une politique de conservation pour des raisons de diversité de patrimoine génétique entre autre, et non d’éradication. 3/ La politique consistant à multiplier les tirs pour réduire les dommages aux troupeaux, mise en place depuis plusieurs années, n’a pas prouvé son efficacité. Il n’est donc pas raisonnable de poursuivre et même d’intensifier cette politique de destruction en renforçant la possibilité de tirs létaux au fil des arrêtés. C’est même TOTALEMENT CONTRE PRODUCTIF !!! En effet, l’État s’entête à vouloir limiter le territoire des loups, et notamment à le cantonner dans l’arc Alpin. 3/ Par ailleurs, comme pour le lynx, seuls les actes de braconnage seront décomptés du plafond de loup à abattre. Nous demandons que les loups tués par accident (collisions…) soient également décomptés ce qui est un minimum surtout lorsqu’il s’agit de chef de meute. 4/ Aucune remise en question de la ""non protégeabilité"" des troupeaux  dans ce projet d’arrêté. Or, ce terme, non défini, ne veut rien dire et ne renvoi à aucun mode opératoire en harmonie avec des pratique de gestion durable des écosystème !!!  Quelles mesures de protection ont été testées et installées pour ces fameux troupeaux qualifiés de non protégeables ?  Je vous rappelle qu’exclure les loups d’un territoire défini comme non protégeable est incompatible avec les obligations de la Directive Habitat Faune Flore.  On retrouve cette notion de non protégeabilité tout au long de l’arrêté, aussi bien pour les tirs de défense simple que les tirs de défense renforcée. Nous nous opposons à cette qualification de « troupeau non protégeable » sans qu’un diagnostic de vulnérabilité préalable et son analyse technique et financière soit réalisé par des techniciens de l’OFB ou de la DDT. 5/ Dans les deux derniers articles du projet d’arrêté, il est proposé de déterminer des zones – et non plus des troupeaux – où la non protégeabilité est admise pour les fronts de colonisation, ce qui conduirait à tuer des loups sans conditions préalables (effarouchement, mise en place de moyens de protection, etc.). Cela revient à vouloir cloisonner les populations de loups sur des territoires déterminés, et empêcher son expansion. IMPORTANT : Il n’est précisé nulle part que les tirs doivent être interdits en période de reproduction ce qui est, à nouveau, en contradiction avec l’obligation de maintenir un état de conservation favorable. FONDAMENTAL : Si les mesures de protection ne suffisent pas à éviter les déprédations, les mesures d’effarouchement devraient être un préalable obligatoire avant de pouvoir procéder à des tirs létaux. Or, ils sont possibles, mais ne sont toujours pas rendus obligatoires. Sans obligation, ils ne seront pas mis en place. Par ailleurs, les mesures d’effarouchement devraient être interdites dans toutes les réserves naturelles et pas seulement nationales. Concernant les tirs de défense,  il n’est pas admissible de qualifier une attaque de loup comme un « acte de prédation pour lequel la responsabilité du loup ne peut être écartée »… Le loup est une espèce protégée et on ne peut pas se contenter d’une suspicion de culpabilité pour autoriser des tirs. 6/ La mise en oeuvre de tirs de défense pour une durée de cinq ans est totalement en contradiction avec l’objectif de conservation de l’espèce loup. Ces autorisations délivrées par les préfets devraient être limitées à un an maximum et suspendues dès qu’un animal a été abattu, d’autant que le projet d’arrêté prévoit de permettre jusqu’à 3 tireurs par troupeau et non plus un seul (limité à l’éleveur). 7/ Le projet d’arrêté prévoit l’abaissement du seuil de déclenchement des tirs. Pour un troupeau, 3 attaques sur 12 mois permettent le déclenchement d’un tir de défense renforcée. Ce seuil bas est en contradiction avec la notion de « dommages importants », l’un des préalables aux tirs de loup, selon la Directive européenne Habitat-Faune-Flore, d’autant plus qu’il est valable pour l’ensemble du territoire de la commune ! 8/ Les tirs de prélèvement devraient être interdits dans les réserves naturelles autres que nationales. La notion de dommages exceptionnels n’est pas explicitée. Les opérations de prélèvement sont élargies à l’occasion de battues, chasses à l’approche et à l’affût du grand gibier, avec du matériel spécifique (lunettes à visée thermique, source lumineuse…) qui sont révélatrices de la volonté de l’État de « DETRUIRE » le loup. Il est temps de sortir d’un imaginaire ""moyenageux"" totalement inadapté aux enjeux de diversité qui seront les notres pour les siècles à venir !!!";;;;;;;;;;;;;;;;
Protection du vivant, le 26 novembre 2023 à 20h39;Merci de protéger le loup et de mettre en oeuvre des solutions viables pour tous qui veillent à cette règle fondamentale.;;;;;;;;;;;;;;;;
Avis défavorables, le 26 novembre 2023 à 20h42;Avis défavorable Les loups ont un rôle dans la biodiversité (Yellowstone). Les Italiens et les Slovènes gèrent très bien la situation. Prenons plutôt exemple ! aidons les éleveurs à s’équiper (des chiens Patous, des aides à la surveillance). Rendre obligatoire les mesures de protection me semble la première chose à faire.  Le loup, espèce protégée, doit faire l’objet d’une politique de conservation pour des raisons de diversité de patrimoine génétique entre autre, et non d’éradication.;;;;;;;;;;;;;;;;
Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus), le 26 novembre 2023 à 20h43;Je suis complètement défavorable à ce projet d’arrêté. Les troupeaux sont souvent mal protégés, il faut commencer par là au lieu de sans cesse vouloir éliminer des loups. Il a été prouvé que ce n’est pas la solution. Le loup reste une espèce protégée et il faut au contraire tout mettre en oeuvre pour éviter toute destruction.;;;;;;;;;;;;;;;;
NON AU MASSACRE DES LOUPS, le 26 novembre 2023 à 20h44;Les loups font partis de la biodiversité et nous avons besoin d’eux. La nature ne nous appartient pas, qui sommes nous pour décider de massacrer une autre espèce ! D’autant plus que maintenant tout le monde sait que les tirs ne résolvent rien du tout. La protection  des troupeaux est la seule solution. Pour beaucoup d’éleveurs et de bergers tout se passe bien, bien que ce ne soit pas forcement facile, je sais bien. De toute façon actuellement les tueurs font déjà ce qu’ils veulent et en tuent autant qu’ils veulent en les attirant par exemple prés de leurs troupeaux avec des appâts, voir leur brebis blessées par exemple, ils filment et après ont  la preuve d’une attaque (fausse bien sur), et peuvent tuer légalement. Et puis bien sur le braconnage, est facile aussi. Sacrés loups ! ils sont vraiment résiliant, et tellement magnifiques et forts !;;;;;;;;;;;;;;;;
Projet d’arrêté fixant les conditions et limites dans lesquelles des dérogations aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (Canis lupus), le 26 novembre 2023 à 20h46;Avis fortement défavorable.;;;;;;;;;;;;;;;;
avis défavorable au plan loup, le 26 novembre 2023 à 21h27;Je suis contre votre le plan. Diminuer la population de loups sur notre territoire reviendrait à condamner notre si belle faune et flore. Comme de nombreux scientifiques vous l’ont déjà dit, le loup ( comme le renard) est indispensable à l’équilibre et la prospérité de nos forêt. En effet, le loup pour survivre va tuer les animaux malades, les plus faibles et ainsi réguler naturellement les espèces. Il régule les cervidés qui affaiblissent nos arbres. Ainsi les arbres restent en vie ce qui permet à d’autres espèces végétales de vivre car à leur ombre notamment mais aussi permet à des espèces comme les écureuils, oiseaux de se cacher des proies et de vivre ainsi. Le loup tellement que la nature a bien fait les choses permet d’éliminer les maladies et ainsi nous faire vivre plus longtemps. Vous avez pu constater l’avant et après chasse aux loups à Yellowstone. L’Homme a détruit plus en peu d’années que le loup depuis sa réintroduction. Pourquoi ne pas plutôt s’attaquer au vrai problème ? La déforestation, la surchasse, le réchauffement climatique qui poussent le loup à s’attaquer aux troupeaux. Tout vrai éléveur se dit aimer la nature et le loup car il sait comme vous que le loup est indispensable à la vie. Dans certains pays européens des moyens sont mis en place comme plus de chiens de garde, de spots de lumières…;;;;;;;;;;;;;;;;
Non au PNA 2024-2029, le 26 novembre 2023 à 21h31;Bonjour, Aucune étude ne prouve que le PNA tel qu’il est présenté et prévu en prenant en compte l’augmentation l’augmentation des effectifs de loups soit la bonne solution, cela permet UNIQUEMENT de contenter le lobby agricole et celui de la chasse. Sur les 50 départements où le loup est présent, quel est l’effectif réel par département? Obligeons d’abord les éleveurs à mettre en place les mesures de protection passives (clôtures et effaroucheurs sonores et visuels )  et actives ( surveillances constante des troupeaux, chiens de protection, bénévoles Pastoraloup, aides bergers) qui existent depuis fort longtemps et ont prouvé leur efficacité. Et faire en sorte d’arrêter les importations massives de viande ovine en provenance de Nouvelle Zélande, qui ont encore augmenté et sont la cause réelle mais non dévoilée du malaise de l’élevage ovin. Le loup est donc un bouc émissaire tout trouvé. Avec du bon sens et un peu d’intelligence on peut éviter du travail aux bergers, de l’argent au contribuable qui va payer les dégâts et surtout éviter de tuer plusieurs loups qui continuent et doivent continuer envers et contre tout de faire partie de notre environnement. Cordialement.;;;;;;;;;;;;;;;;
Le Loup, régulateur naturel de la biodiversité !, le 26 novembre 2023 à 21h36;"Le Loup, en sa qualité de grand prédateur, régule certaines espèces tels que les chevreuils, sangliers, etc… Si, comme ils aiment à le dire, les 1ers écologistes de France ne chassaient ""que"" pour réguler (les espèces qu’ils élèvent et relâchent…), ils devraient être heureux de ne pas avoir à faire ce sale boulot… Par ailleurs, les agriculteurs céréaliers devraient remercier le Loup de limiter la propagation d’animaux causant des dégâts dans leurs cultures. Il est certes contraignant pour les agriculteurs éleveurs de protéger leurs troupeaux mais il existe aujourd’hui des solutions tels que les chiens de protection. La sauvegarde d’une espèce protégée ne devrait pas être bafouée de telle manière…";;;;;;;;;;;;;;;;
Stop aux tirs de Loups, le 26 novembre 2023 à 21h51;Je suis contre les tirs de loups, une meute est très bien organisée, en tirant au hasard, vous allez complètement déstabiliser la meute. C’est alors qu’ils seront dangereux. décidément les politiques ne comprennent rien ou ne veulent rie comprendre. Ras le bol de tout décider pour nous en dépit du bon sens. Apprenons à vivre avec les animaux au lieu de les tuer;;;;;;;;;;;;;;;;
Avis defavorable, le 26 novembre 2023 à 21h56;Espèce strictement protégée, les questions de dérogations ne devraient même pas se poser …;;;;;;;;;;;;;;;;
Les concitoyens se plaignent de la prolifération des sangliers et les chasseurs ne parviennent pas à les réguler, le 26 novembre 2023 à 22h17;AVIS DÉFAVORABLE : Bon nombre de concitoyens se plaignent de la prolifération de sangliers occasionnant des dégâts dans les jardins de particuliers non clos…  Les chasseurs avouent ne pas parvenir à réguler la population de sangliers.  Le SEUL prédateur naturel du sanglier est le loup Il est temps de laisser le seul prédateur naturel du sanglier faire son travail auprès des sangliers, travail qu’il semblait mieux faire que les chasseurs car cette prolifération de sangliers n était pas problématique quand le loup existait encore dans nos régions. Concernant les problématiques d animaux d élevage victimes du loup peut être devrions nous nous poser la question de comment cela se passait quand ils étaient encore présents ? La présence de chiens patou et autres chiens de protections de troupeau (encore faut-il qu ils soient suffisamment nombreux) semble être efficace à défaut du berger.;;;;;;;;;;;;;;;;
AVIS DÉFAVORABLE : problématique de prolifération de sangliers que les chasseurs ne parviennent pas à maîtriser : il vaut mieux donc laisser le SEUL prédateur naturel faire le travail , le 26 novembre 2023 à 22h25;AVIS DÉFAVORABLE : Bon nombre de concitoyens se plaignent de la prolifération de sangliers occasionnant des dégâts dans les jardins de particuliers non clos… Les chasseurs avouent ne pas parvenir à réguler la population de sangliers. Le SEUL prédateur naturel du sanglier est le loup Il est temps de laisser le seul prédateur naturel du sanglier faire son travail auprès des sangliers, travail qu’il semblait mieux faire que les chasseurs car cette prolifération de sangliers n était pas problématique quand le loup existait encore dans nos régions. Concernant les problématiques d animaux d élevage victimes du loup peut être devrions nous nous poser la question de comment cela se passait quand ils étaient encore présents ? La présence de chiens patou et autres chiens de protections de troupeau (encore faut-il qu ils soient suffisamment nombreux) semble être efficace à défaut du berger.;;;;;;;;;;;;;;;;
avis défavorable, le 26 novembre 2023 à 23h14;Le loup est indispensable à la biodiversité, son rôle régule et harmonise la nature. Il semble plus judicieux de se pencher sur le nombre d’animaux domestiques d’élevage qui dérègle le climat.;;;;;;;;;;;;;;;;
Tirs de régulation de Canis Lupus, le 26 novembre 2023 à 23h15;Je serai bref ! Laissons les loups se réguler eux-mêmes, ils n’ont pas besoin de nous. Que dire des prédateurs bipèdes?;;;;;;;;;;;;;;;;
Avis défavorable pour un animal emblématique de la France - le 27/11, le 26 novembre 2023 à 23h26;Le loup est indispensable à la biodiversité et son rôle est plus que jamais essentiel pour réguler les espèces. Le loup est un emblème et fait partie du patrimoine français et européen. On le retrouve dans notre histoire, nos contes, sur nos blasons, dans nos chansons, dans nos films et nos fables. Il faut absolument le protéger.;;;;;;;;;;;;;;;;
défavorable, le 26 novembre 2023 à 09h46;vous vous tirez une balle dans le pied ! les loups sont nécessaires pour l’ équilibre de la biodiversité;;;;;;;;;;;;;;;;
Stop, le 26 novembre 2023 à 10h01;Stop. Il est temps d’apprendre à vivre avec ce qui nous entoure Quelle est la prochaine étape ? Pleurer sur une espèce disparue de plus dans les vitrines des musées d’histoire naturelle ?;;;;;;;;;;;;;;;;
Défavorable au projet d’arrêté , le 26 novembre 2023 à 10h07;Il faut arrêter de tirer sur les loups !  on les accuse de tous les maux mais comment font ils en Italie où la cohabitation avec cette espèce ne pose pas de problèmes?  Les loups jouent un rôle dans l’équilibre de la biodiversité en régulant naturellement certaines espèces comme les cervidés. Cette régulation ne plait pas aux chasseurs qui vient les loups comme des concurrents à LEUR gibier.  Commençons aussi par ne pas empiéter sur le territoire historique des loups et un certain nombre d’attaques de troupeaux disparaitront et mettons en place de vraies protections de ces troupeaux en ne les laissant pas vagabonder seuls …;;;;;;;;;;;;;;;;
Sans titre, le 26 novembre 2023 à 10h24;Contre le projet d’abattage des loups arbitraire, systématique et exponentiel. Au mieux, ne pourrait -être toléré que l’exceptionnel concernant un individu particulier s’obstinant à commettre des prélèvements domestiques alors que toutes les mesures de protection ont été prises. Et encore, le mieux serait de l’endormir et de le délocaliser.;;;;;;;;;;;;;;;;
Contre les tirs de loups, le 26 novembre 2023 à 10h26;Le loup est le prédateur naturel qui régule les espèces en surnombre nuisant à la biodiversité (cerfs, sangliers). Il chasse en meute, mais son habitat et ses territoires de chasse se réduisent sous la pression humaine. Lorsque les loups dominants sont abattus, il y a dispersion de la meute, des jeunes sans expérience sont livrés à eux même. Un loup solitaire ou des loups inexpérimentés vont alors se rabattre sur des proies bien évidement plus faciles à chasser. Les animaux domestiques peuvent faire partie de ces proies d’autant plus que des troupeaux de milliers de moutons s’offrent à lui quelques fois…  Ils sont pourtant responsables de la mort de bien peu de ces animaux d’élevage. Tout le monde sait très bien qu’il faut aussi se tourner vers les chiens errants pour avoir souvent une raison à ces morts.  Le loup contribue à préserver la structure des écosystèmes, il joue un rôle primordial et essentiel dans le maintien de la biodiversité. Voici pourquoi je suis farouchement pour la protection de cette espèce.;;;;;;;;;;;;;;;;
les loups sont protégés par l’Europe, le 26 novembre 2023 à 10h29;Comment peut-on aller à l’encontre des lois européenne ?;;;;;;;;;;;;;;;;
le loup est plus utile que l’élevage, le 26 novembre 2023 à 11h03;En premier lieu, l’élevage est une plaie pour la planète. Il est à l’origine du réchauffement climatique et de la 6e extinction de masse. Vous comptez donc y participer. Ensuite une étude récente datant de décembre 2021 montre que les tirs de prélèvement sont en majorité inutiles. Pendant une courte période il n’y a plus d’attaques sur le secteur, mais cela revient, car de toute façon la nature a horreur du vide. Un loup qui part, c’est un autre loup qui revient. Lorsqu’un loup est tué, d’autant plus s’il s’agit d’un chef de meute, cette dernière peut potentiellement éclater. Des jeunes loups se retrouvent ainsi isolés et chassent de manière désorganisée, sur des territoires parfois distants. Dans les Alpes-de-Haute-Provence, en Italie… certains éleveurs ont fait le choix de cohabiter avec les loups. Il suffit qu’ils s’en donnent les moyens au lieu de passer par l’abattage irresponsable et inefficace. pour votre information https://www.youtube.com/watch?v=3HWrkC3NIiA&t=179s;;;;;;;;;;;;;;;;
Absurde , le 26 novembre 2023 à 11h08;Des solutions absurdes, de nombreuses études montrent l’importance du loup pour la biodiversité et la régulation des cervidés (bien plus efficace que nos dangereux chasseur alcoolique). Des solutions pour la protection des troupeaux existent, chiens de gardes, clôture des pâturages, tir dissuasif pour faire fuir les loups. Mais non la stupidité humaine souhaite exterminer et tuer. Il faut coexister et non détruire la moindre chose qu’il ne nous plaît pas.;;;;;;;;;;;;;;;;
Avis défavorable , le 26 novembre 2023 à 11h54;"Une fois de plus le lobby de la chasse et de l’agriculture fait son bout de chemin dans les décisions qui impactent ou impacteront prochainement les citoyens.  De nombreuses fois démontré scientifiquement, le loup et les grands carnivores ont une place vitale dans le paysage européen ! S’en débarrasser ou à minima favoriser son isolement géographique grâce à cette ""campagne de chasse"", ne fait que précipiter l’espèce dans une pauvreté génétique et une disparition progressive du paysage. Choisir une option plus respectueuse du vivant devrait être la priorité des politiques. D’autant plus aujourd’hui avec une biodiversité en chute libre, intéressons nous davantage à ce vivant, élaborons des plans d’après ce que nous connaissons sur la cohabitation prédateurs-élevages (l’exemple italien), ne choisissons pas les solutions les plus simples à défaut de vouloir y réfléchir et enfin abandonnons ce projet d’arrêté !";;;;;;;;;;;;;;;;
Non au prochain plan loup., le 26 novembre 2023 à 12h09;Avis défavorable concernant le plan loup. Comment pouvons nous encore en etre là? l’étude de la possibilité de déclassement de l’espèce, aujourd’hui strictement protégée, ce qui est inédit pour un PNA l’élevage porté sur un piédestal, sans aucun bémol, alors qu’on sait que les Alpes, par exemple, sont parfois soumises à un surpâturage intense a contrario, il n’est fait mention que des impacts négatifs de la présence du loup, rien sur son rôle bénéfique et ses bienfaits écosystémiques, notamment pour la forêt et même pour l’agriculture et la sylviculture grâce à la régulation des ongulés sauvages le principe de non protégeabilité de certains troupeaux reste maintenu empêchant de fait l’équipement en moyens de protection et favorisant les tirs de loups.;;;;;;;;;;;;;;;;
Défavorable , le 26 novembre 2023 à 12h09;Le rôle des PNA est de protéger, pourquoi tuer alors qu il existe des solutions non létales ?  Les loups maintiennent un équilibre dans les milieux  naturels . Alors que l ONF organise le massacre des cervidés, on veut tuer leur seul prédateur ! Les éleveurs doivent protéger leur troupeau.le loup est une espèce protégée et vulnérable.;;;;;;;;;;;;;;;;
avis défavorable. , le 26 novembre 2023 à 12h45, le 26 novembre 2023 à 12h51;ce nouveau PNA est construit sur des bases non scientifiques. Il est un texte clientéliste, destiné à acheter la paix sociale qui de toute façon fera défaut.  C’est un message catastrophique pour la conservation de la nature doublé d’une aberration au plan écologique. On dépense pour tuer des loups, ce qui oblige à dépenser pour tuer leurs proies au lieu de laisser faire la régulation naturelle.;;;;;;;;;;;;;;;;
Dr haustete , le 26 novembre 2023 à 13h05;Avis défavorable  Le loup est indispensable  à la biodiversite;;;;;;;;;;;;;;;;
AVIS DÉFAVORABLE 26 NOV 2023 , le 26 novembre 2023 à 13h24;Je confirme ici mon avis défavorable les loups doivent être protéger sans régulation les moyens ne manque pas même s il sont plus contraignant qu un simple tir meurtrier.  Le temps des armes à feu doit cesser. Éveillez les consciences et ouvrez de nouvelles voies pour nous, nos enfants et l humanité. Merci.;;;;;;;;;;;;;;;;
Mme Servais, le 26 novembre 2023 à 13h34;Je suis défavorable à ce projet qui vise à tuer encore plus de Loups Ce sont des animaux protégés et utiles   Alors arrêtons de les massacres SVP !;;;;;;;;;;;;;;;;
avis défavorable, le 26 novembre 2023 à 13h49;Le loup est essentiel à la biodiversité. Il est urgent de changer notre regard sur la faune sauvage et de réaliser ce que la biodiversité apporte à l’équilibre des écosystèmes naturels.;;;;;;;;;;;;;;;;
avis défavorable, le 26 novembre 2023 à 13h59;les états membres de l’Europe ayant une approche plus ouverte à la présence du loup sur leurs territoires sont un exemple à suivre. Les quotas et surtout le braconnage vont a l’encontre de la protection associée à cette espèce.;;;;;;;;;;;;;;;;
