titre;texte
Avis défavorable, le 3 juin 2025 à 19h26;D’une façon générale, il faut privilégier, encourager, soutenir y compris financièrement les solutions non létales telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement,  avant toute autorisation de destruction.  L’attribution des autorisations de tir par les Préfets se base uniquement sur les dommages, sans évaluation de l’état de conservation du loup aux différents niveaux géographiques. Il y aurait d’autres critiques à faire sur le processus de décision qui a conduit à ce projet de décret, notamment concernant l’insuffisance des études. C’est pourquoi en l’état ce projet de décret ne doit pas être adopté.
Non à cet arrêté qui ne fera qu’autorisé de tuer encore plus de loups !, le 3 juin 2025 à 19h27;Pourquoi toujours satisfaire une poignée d’humain, pour l’économie ou je ne sais qu’elle autre raison, qui ne devraient jamais passé au premier plan par rapport à la préservation des espèces et le maintien de l’équilibre fragile de notre Nature.
Défavorable , le 3 juin 2025 à 19h30;Laissons ces magnifiques animaux
projet d’arrêté modifiant les interdictions de destruction du loup, le 3 juin 2025 à 19h30;Je suis absolument contre la modification de l’arrêté du 21 Février 2024. Il faut arrêter de massacrer les animaux sauvages !!!
Défavorable , le 3 juin 2025 à 13h25;Quelle honte de tuer le vivant ! La macronie est ecocidaire.empoisonne terre et mer et ses citoyens.Etat mafieu et incompétent 🤮💩
Très défavorable, le 3 juin 2025 à 13h25;Les loups sont essentiels à la biodiversité. Des méthodes non létales et respectueuses sont possibles.
Défavorable , le 3 juin 2025 à 13h29;Le loup est indispensable à la biodiversite, l’élevage  non.
Défavorable , le 3 juin 2025 à 13h32;Défavorable à tous points !
DEFAVORABLE, le 3 juin 2025 à 13h34;Le  simple fait que l homme s arroge encore une fois le droit de vie de mort sur une espèce est inaudible. Sous prétexte qu il dérange. Parce que nous sommes incapables de nous adapter à notre environnement. Il y a bien d autre façon non létale d eloigner le loup des troupeaux. Aux éleveurs de s adapter.
DÉFAVORABLE , le 3 juin 2025 à 17h11;DÉFAVORABLE  bien d’autres solutions existent pour protéger les troupeaux. De plus le loup joue un rôle crucial dans l écosystème
Défavorable, le 3 juin 2025 à 14h20;Je donne un avis défavorable à ce projet d’arrêté qui privilégie les tirs de loups au détriment de solutions de protection éprouvées. Aucune évaluation sérieuse des impacts sur la conservation de l’espèce ni des effets des arrêtés précédents n’a été réalisée, alors que des alternatives non létales existent et fonctionnent ailleurs en Europe.
Contre, le 3 juin 2025 à 14h20;Laissez ces animaux tranquille
Complètement défavorable !, le 3 juin 2025 à 17h39;Cessons l’abattage des loups !
Défavorable , le 3 juin 2025 à 17h40;Défavorable, le loups est généralement pris comme coupable idéal et paye le prix des chiens sauvages souvent accoutumés a l’ Homme et aux troupeaux. Les moyens de protection tel que les chiens de troupeau, et autres solutions de protection, doivent être mis en avant explicitement dans les mesures en anticipation du traitement des attaques. Des études sur la relations et l’impact réel entre le loup et les élevages doit être menée de manière a expliciter les typologies existantes d’attaque et les moyens de protection mis en place. Enfin rappelons que s’il ne faut pas crier au loup trop vite, ce sont les élevages qui les ont chassés initialement, et la réintégration du loup permet de rééquilibrer l’équilibre naturel environnemental nécessaire au maintient de la biodiversité actuelle.
Défavorable , le 3 juin 2025 à 19h32;Les agriculteurs ont d’autres moyens de protection face à la prédation (qui provient le plus souvent des chiens errants).
Avis défavorable , le 3 juin 2025 à 19h34;Il existe d’autres moyens à mettre en place Préservons la vie des loups
Avis défavorable , le 3 juin 2025 à 19h34;Il faut utiliser d’autres moyens pour aider les éleveurs : tuer des loups est une mauvaise solution.
DEFAVORABLE, le 3 juin 2025 à 19h35;"Avis défavorable car : - PAS D EVALUATION des précédents ""plans""  - selon le PNA 2024-2029 « Loup et activités d‘élevage ». Il faut travailler à AMELIIORER les protections des troupeaux par des méthodes non létales et ayant prouvé  leur efficacité ! - le  SEUIL déclencheur d’une autorisation de destruction est BEAUCOUP TROP FAIBLE : une seule prédation au cours des 12 derniers mois suffit !! - SOUTENIR davantage financièrement les éleveurs pour les inciter à mieux protéger leurs troupeaux !"
Avis défavorable à cet arrêté, le 3 juin 2025 à 19h36;"Il n’y a aucune base scientifique à ce projet. ..c’est juste une instrumentalisation du loup pour récolter des voix, complaire à des lobbies,   Rien ne justifie vos décisions. Actuellement vous cherchez  semble-t-il, à déconstruire tout ce qui concerne la protection de la vie et de la biodiversité. Pourtant, nous sommes tous des mammifères et nous vivons en interdépendance. Il y a assez que ""l’homme soit un loup pour l’homme"" ? Les pays autour de la France ont un autre point de vue. Il est regrettable que vous ayez de tels projets de massacres, uniquement électoralistes."
Avis défavorable , le 3 juin 2025 à 19h37;Augmenter les tirs de loups ne résoudra rien. Il faut envisager d’autres solutions (ex. Revaloriser le statut de gardien/gardienne de troupeau)
DÉFAVORABLE , le 3 juin 2025 à 19h38;La place du loup doit rester être partagée avec la notre. La mise en place de systèmes de protection des troupeaux doit être privilégiée. Chiens, clôtures, bergers…
Défavorable , le 3 juin 2025 à 15h21;Pourquoi vouloir toujours préférer la tuerie de masse plutôt que des solutions dictées par nos ancêtres et qui ont fait leur preuve : à savoir, présence de chiens et de berger en journée. Troupeau rentré la nuit.
Défavorable, le 3 juin 2025 à 15h23;Défavorable Le loup prélève en très grande priorité sur la faune sauvage pour se nourrir. Il a toute sa place dans la biodiversité. La cohabition s’apprend, s’organise.
AVIS DEFAVORABLE, le 3 juin 2025 à 15h23;L’homme n’a de cesse de détruire la nature pour son profit. Il ne reste que 3% de mammifères sauvage sur la planète contre 77% de bétail et 30% d’humains. Arrêtez de détruire des écosystèmes, la biodiversité.
Totalement défavorable , le 3 juin 2025 à 15h24;Encore une fois, on ne pense qu’à tuer sans avoir mis en place la moindre mesure de protection préalable. Toutes les méthodes de protection des troupeaux et les aides aux éleveurs doivent être utilisées, plutôt que développer encore et encore un système mortifère où seuls nous les humains avons le droit de vivre.
Avis DEFAVORABLE au projet de loi de dérogation , le 3 juin 2025 à 15h24;D’autre solution existe que celle de porter atteinte au loup. En Italie de nombreux éleveurs cohabitent avec les loups ce n’est pas impossible ! C’est nécessaire pour la préservation de l’environnement, les animaux ont tous leurs rôles et nous permettent aussi de vivre. Il est essentiel de préserver les loups.
Défavorable, le 3 juin 2025 à 15h25;Réfléchissons comme d’autres pays où la cohabitation entre le loup et l’élevage existe ! Plutôt que de choisir la manière facile, à savoir la mort, pour un prédateur essentiel au bon équilibre des écosystèmes et dont l’espèce reste menacée.
Arrêté du 21 février 2024  (Le Loup), le 3 juin 2025 à 21h59;Avis défavorable.  Je m’oppose fermement à ce nouveau projet. Ce sont toujours les mêmes solutions envisagées : TUER LE VIVANT sans apporter des solutions efficaces et durables.  On veut protéger les animaux, mais se  soucie-t-on d’eux quand ils partent vers les  abattoirs ?  Je pense qu’on ne protège pas la vie, mais seulement l’argent…
AVIS DEFAVORABLE , le 3 juin 2025 à 22h00;DEFAVORABLE !
Défavorable, le 3 juin 2025 à 22h01;Il faut continuer  à protéger le loup et accompagner les éleveurs dans les mesures de protection.
Défavorable, le 3 juin 2025 à 22h01;Chaque année des loups sont abattus et chaque année les bergers ont des problèmes. Est ce vraiment la bonne solution, ou la plus facile à mettre en place ?
AVIS FAVORABLE, le 3 juin 2025 à 22h01;En tant que particulier propriétaire de deux brebis élevées en tant qu’animaux de compagnie, je suis directement concerné par les risques de prédation liés à la présence croissante du loup en France. Il y a un besoin de rééquilibrage entre protection du loup et protection des troupeaux : la protection stricte du loup, bien qu’elle ait été nécessaire dans un contexte de réintroduction de l’espèce, ne peut désormais plus primer systématiquement sur la sécurité des troupeaux. Le retour du loup dans de nombreuses régions crée aujourd’hui une pression insupportable sur les éleveurs, mais aussi sur les particuliers comme moi, qui détiennent quelques animaux sans les moyens lourds de protection. La possibilité pour les préfets d’intervenir plus efficacement (y compris par autorisation de tirs) est un outil indispensable de gestion du risque, notamment dans les zones où les dispositifs de protection sont inadaptés, coûteux ou inefficaces. Des attaques touchent aussi les petits détenteurs et les animaux de loisir : même avec peu d’animaux, les particuliers subissent eux aussi les effets de la prédation (stress, insécurité, peur de retrouver ses bêtes massacrées). Les dispositifs classiques (clôtures électriques, chiens de protection) sont souvent incompatibles avec les petites structures ou les usages de loisir. Il est donc crucial que l’État puisse protéger tous les détenteurs d’animaux, particuliers comme professionnels. Je soutiens donc pleinement ce projet d’arrêté, car il apporte un cadre équilibré, juridiquement sécurisé et pragmatique pour permettre aux préfets d’agir efficacement contre les attaques de loups, tout en respectant les efforts de protection déployés par les éleveurs. Il est urgent de garantir à tous, professionnels comme particuliers, le droit de vivre et d’élever des animaux en sécurité.
Défavorable , le 3 juin 2025 à 22h02;Merci de veiller sur les espèces animales en cherchant des solutions positives pour les préserver plutôt que les détruire sans réflexion à long terme.  Ceci vaut également pour les espaces marins protégés, l’ensemble de la biodiversité. Avez-vous des enfants à qui rendre des comptes ?
Défavorable , le 3 juin 2025 à 22h03;C’est une honte. Les loups étaient là avant nous. Prenez exemple sur d’autres pays qui vivent avec eux.
AVIS DÉFAVORABLE !, le 3 juin 2025 à 18h22;Pourquoi tant de haine envers le vivant et ne pas prendre exemple sur des pays européens qui laissent vivre et évoluer le loup de façon naturelle et respectueuse !?
Avis défavorable , le 3 juin 2025 à 18h22;Le projet d’arrêté a également reçu un avis défavorable du Conseil national de la protection de la nature (CNPN).
Avis totalement défavorable , ça n’a aucun sens de détruire des loups sous couvert de la législation alors que les troupeaux ne sont pas protégés selon le bon vouloir du ministère de l’Agriculture et de certains syndicats agricoles, c’est inadmissible et contraire à l’obligation de conserver la population de loups dans un bon état de conservation., le 3 juin 2025 à 09h06;"Pour rappels importants préalables : 1 / Séance du 21 MAI 2025, Délibération N° 2025-12 du Conseil National de la Protection de la Nature. Avis sur le projet d’arrêté modifiant l’arrêté du 21 Février 2024 fixant les conditions et limites dans lesquelles des dérogations peuvent être accordées par les Préfets concernant le loup (canis lupus). Le CNPN émet un avis défavorable à l’unanimité (20 votants) au projet de modification de cet arrêté. 2 / Dans la cadre de ce projet de modification de l’arrêté du 21 février 2024 qui accorde la priorité à la destruction des loups au prétexte que leur nombre actuel est jugé satisfaisant par le ministère de l’Agriculture alors qu’il devrait être trois, voire quatre fois supérieur, l’avis du 27 Février 2025 à Lyon du Conseil Scientifique du Plan National d’Actions 2024-2029 sur le loup et les activités d’élevage sur la communication des estimations des effectifs de loups en France souligne l’importance de rapidement et facilement rendre accessible au grand public les fondements scientifiques afin de faciliter leur bonne compréhension par l’ensemble des acteurs et d’éviter toute surinterprétation.  Il est important pour cela, que l’estimation des effectifs et des paramètres démographiques soit accompagnée de la publication en libre accès d’un rapport technique annuel décrivant les données, les méthodes statistiques utilisées, ainsi qu’un guide d’interprétation des résultats. Cette transparence scientifique, est primordiale pour garder ou rétablir la confiance entre les acteurs et faciliter la communication avec les médias. Paramètres démographiques et de viabilité du taux de survie de l’espèce réclamés depuis longtemps par les ONG, sans suite. L’appréciation de l’état de conservation favorable fondé uniquement sur les effectifs estimés, sans fondement technique ou scientifique de la population au niveau national, ne constitue qu’une appréciation partielle. Aujourd’hui, aucun fondement technique ou scientifique n’établit la nécessité de détruire des loups pour protéger les cheptels, ni au niveau national, ni au niveau européen. Selon la loi d’orientation de 2025 pour la souveraineté alimentaire, confier au seul pouvoir réglementaire (arrêté conjoint des ministres chargés de l’agriculture et de l’écologie) le soin de définir les mesures de réduction de la vulnérabilité des élevages qui conditionnent l’octroi d’autorisations de tir de loups, affirmant qu’il n’existe pas de référentiel de protection pour les troupeaux bovins-équins, alors une étude de parangonnage sur la politique publique du loup (publiée en septembre 2023 par ses propres services, IGEDD/CGAAER ) indique justement que des moyens de protection des troupeaux bovins sont utilisés dans d’autres pays européens et sont efficaces. Surtout, confier au seul pouvoir réglementaire est complétement irréalisable car, avec quels moyens sur le terrain pour analyser, définir, contrôler et rendre-compte de l’opérationnalité de ces mesures. De plus la 6e  recommandation de ce rapport porte précisément sur l’abandon de la notion de non-protégeabilité pour les bovins. L’État ne peut pas faire reposer une évolution réglementaire sur des affirmations qu’il n’argumente pas, et ignorer les recommandations de ses propres services. Pour ces mesures, que nous ne reprendrons pas en détail ici (liste de 12 mesures), car jugées comme de la poudre aux yeux et liste à la Prévert, une analyse sérieuse par les services de l’état serait nécessaire à leur réalisation, ainsi qu’un contrôle par ses mêmes services de l’état de leur efficacité et de leur durabilité dans le temps. Quels services, hormis l’Office Français de la Biodiversité tant décriés par les éleveurs / agriculteurs, et avec des effectifs amputés, pourraient réaliser cette mission ? La mise en place d’au moins une seule de ces mesures de réduction de la vulnérabilité des élevages qui conditionnaient l’octroi d’autorisations de tir de loups, même une seule découlant d’une analyse technico-économique territoriale validée par le préfet coordonnateur est complétement utopique et même malhonnête, aussi bien vis-à-vis des éleveurs que des ONG, selon la nécessité de résultat citée ci-dessus. Or, de plus, les modalités de définition de cette analyse ""technico-économique"" territoriale ne sont pas encadrées dans le projet d’arrêté et ne correspondent pas aux conclusions de la décision de la CJUE de juillet 2024 (CJUE C-601/22 - 11 juillet 2024) qui affirme qu’en ce qui concerne la non-protégeabilité, la ""mise en œuvre de ces programmes et plans de gestion"" peut impliquer l’introduction de ""changements dans les activités agricoles concernées"" afin d’assurer une protection suffisante contre les loups (clôtures, chiens de garde, etc.). De tels changements, observe la Cour, ""s’accompagnent nécessairement de certains coûts"", et ces coûts ""ne sauraient constituer un motif suffisant pour déroger"" à la protection stricte. D’autre part, quid de l’indépendance de cette analyse par le préfet coordonnateur alors que jusqu’à présent c’est uniquement le ministère de l’Agriculture qui dicte sa loi. Pour preuves, toutes les consultations publiques en rapport au loup depuis 2023, sans exception défavorables à plus de 90 % au différents projets visés, n’ont pas empêché l’état de faire à sa guise pour satisfaire uniquement politiquement une très petite minorité des Français. De plus le seuil de déclenchement des autorisations de tir (une attaque dans les douze derniers mois donnant lieu à au moins une victime indemnisable) est très bas et ne suffit pas à répondre à la condition de « dommages importants aux troupeaux domestiques » justifiant une dérogation Enfin, l’effarouchement des loups y compris par des tirs non létaux, qui est une autre solution satisfaisante si les mesures de protection ne suffisent pas à éviter les déprédations, devrait être un préalable obligatoire aux tirs de défense. Après l’avoir été dans les premiers arrêtés fixant les conditions et de limites de destruction de loups, il n’est désormais plus mentionné que comme une simple possibilité. L’absence d’autre solution satisfaisante n’est donc pas démontrée. De plus, la mobilisation des lieutenants de louveterie en remplacement des agents de l’OFB est aussi une preuve supplémentaire que l’état souhaite détruire les loups. Il serait également indispensable de dresser le bilan des mesures de protection des bovins mises en œuvre à titre expérimental ou non. Cette action est pourtant incluse dans le PNA 2024-2029 loup et activités d‘élevage et engage des fonds conséquents. Au lieu de faciliter encore et toujours les tirs du loup, alors que l’efficacité de ces tirs n’est toujours pas prouvée, l’Etat devrait élaborer un ""schéma de protection techniquement validé"" pour les élevages bovins, en lien avec les professionnels, les parties prenantes et en tenant compte des expériences et pratiques dans d’autres pays, comme cela a été fait pour l’élevage ovin depuis des années déjà. Enfin, cette énième consultation publique est le préalable à un énième déni de démocratie et d’atteinte à la biodiversité en faisant du loup un bouc émissaire."
Défavorable , le 3 juin 2025 à 20h59;Après le loup, qui sera le prochain “nuisible” sur la liste ? Le lynx? L’ours? Le renard ? Le blaireau ? Alors que l’agriculture intensive éradique insectes et oiseaux,  la surpêche détruit la biodiversité marine, à présent c’est le loup qu’il faut pourchasser ? Merci aux législateurs de tenir tête au lobby des éleveurs car ceux qui souhaitent cohabiter avec le loup n’osent pas s’exprimer par peur des représailles, faites preuve pour une fois de courage politique !
Avis défavorable, le 3 juin 2025 à 21h00;Après des années de luttes pour voir revenir le loup et ses populations augmenter, cette loi risque de saborder tous les efforts de protection. La solution du tir des loups est sans doute la plus simple pour des politiciens qui se soucient peu de biodiversité et d’équilibre écologique. Il faut construire un programme ambitieux qui permettent aux loups et aux éleveurs de survivre ensemble. C’est la seule fois honorable pour le futur.
Avis défavorable , le 3 juin 2025 à 21h01;Je suis défavorable à ces modifications. Les loups ont leur place dans les espaces naturels français et doivent être protégés, comme toutes les espèces vivantes.
DÉFAVORABLE , le 3 juin 2025 à 14h42;Les mesures de protection des troupeaux non létales doivent être investies systématiquement, il est nécessaire d’aborder la protection des troupeaux et des loups de façon globale et pérenne
Avis défavorable à ce projet d’arrêté, le 3 juin 2025 à 14h47;"L’élimination des loups par le biais de la législation alors que les troupeaux ne sont pas protégés (alors que d’autres pays d’Europe le font), avec l’assentiment du ministère de l’Agriculture et de certains syndicats agricoles, n’est pas admissible et contraire à l’obligation de maintenir la population de loups dans un bon état de conservation. Pour rappels importants préalables : 1 / Séance du 21 MAI 2025, Délibération N° 2025-12 du Conseil National de la Protection de la Nature. Avis sur le projet d’arrêté modifiant l’arrêté du 21 Février 2024 fixant les conditions et limites dans lesquelles des dérogations peuvent être accordées par les Préfets concernant le loup (canis lupus).  Le CNPN émet un avis défavorable à l’unanimité (20 votants) au projet de modification de cet arrêté. 2 / Dans la cadre de ce projet de modification de l’arrêté du 21 février 2024 qui accorde la priorité à la destruction des loups au prétexte que leur nombre actuel est jugé satisfaisant par le ministère de l’Agriculture alors qu’il devrait être trois, voire quatre fois supérieur, l’avis du 27 Février 2025 à Lyon du Conseil Scientifique du Plan National d’Actions 2024-2029 sur le loup et les activités d’élevage sur la communication des estimations des effectifs de loups en France souligne l’importance de rapidement et facilement rendre accessible au grand public les fondements scientifiques afin de faciliter leur bonne compréhension par l’ensemble des acteurs et d’éviter toute surinterprétation.  Il est important pour cela, que l’estimation des effectifs et des paramètres démographiques soit accompagnée de la publication en libre accès d’un rapport technique annuel décrivant les données, les méthodes statistiques utilisées, ainsi qu’un guide d’interprétation des résultats.  Cette transparence scientifique, est primordiale pour garder ou rétablir la confiance entre les acteurs et faciliter la communication avec les médias. Paramètres démographiques et de viabilité du taux de survie de l’espèce réclamés depuis longtemps par les ONG, sans suite. L’appréciation de l’état de conservation favorable fondé uniquement sur les effectifs estimés, sans fondement technique ou scientifique de la population au niveau national, ne constitue qu’une appréciation partielle. Aujourd’hui, aucun fondement technique ou scientifique n’établit la nécessité de détruire des loups pour protéger les cheptels, ni au niveau national, ni au niveau européen. Selon la  loi d’orientation de 2025  pour la souveraineté alimentaire, confier au seul pouvoir réglementaire (arrêté conjoint des ministres chargés de l’agriculture et de l’écologie) le soin de définir les mesures de réduction de la vulnérabilité des élevages qui conditionnent l’octroi d’autorisations de tir de loups,  affirmant qu’il n’existe pas de référentiel de protection pour les troupeaux bovins-équins, alors une étude de parangonnage sur la politique publique du loup  (publiée en septembre 2023 par ses propres services, IGEDD/CGAAER ) indique justement que des moyens de protection des troupeaux bovins sont utilisés dans d’autres pays européens et sont efficaces. Surtout, confier au seul pouvoir réglementaire est complétement irréalisable car, avec quels moyens sur le terrain pour analyser, définir, contrôler et rendre-compte de l’opérationnalité de ces mesures.  De plus la 6e recommandation de ce rapport porte précisément sur l’abandon de la notion de non-protégeabilité pour les bovins. L’État ne peut pas faire reposer une évolution réglementaire sur des affirmations qu’il n’argumente pas, et ignorer les recommandations de ses propres services.     Pour ces mesures, que nous ne reprendrons pas en détail ici (liste de 12 mesures), car jugées comme de la poudre aux yeux et liste à la Prévert, une analyse sérieuse par les services de l’état serait nécessaire à leur réalisation, ainsi qu’un contrôle par ses mêmes services de l’état de leur efficacité et de leur durabilité dans le temps. Quels services, hormis l’Office Français de la Biodiversité tant décriés par les éleveurs / agriculteurs, et avec des effectifs amputés, pourraient réaliser cette mission ?  La mise en place d’au moins une seule de ces mesures de réduction de la vulnérabilité des élevages qui conditionnaient l’octroi d’autorisations de tir de loups, même une seule découlant d’une analyse technico-économique territoriale validée par le préfet coordonnateur est complétement utopique et même malhonnête, aussi bien vis-à-vis des éleveurs que des ONG, selon la nécessité de résultat citée ci-dessus. Or, de plus, les modalités de définition de cette analyse ""technico-économique"" territoriale ne sont pas encadrées dans le projet d’arrêté et ne correspondent pas aux conclusions de la décision de la CJUE de juillet 2024 (CJUE C-601/22 - 11 juillet 2024) qui affirme qu’en ce qui concerne la non-protégeabilité, la ""mise en œuvre de ces programmes et plans de gestion"" peut impliquer l’introduction de ""changements dans les activités agricoles concernées"" afin d’assurer une protection suffisante contre les loups (clôtures, chiens de garde, etc.). De tels changements, observe la Cour, ""s’accompagnent nécessairement de certains coûts"", et ces coûts ""ne sauraient constituer un motif suffisant pour déroger"" à la protection stricte. D’autre part, quid de l’indépendance de cette analyse par le préfet coordonnateur alors que jusqu’à présent c’est uniquement le ministère de l’Agriculture qui dicte sa loi. Pour preuves, toutes les consultations publiques en rapport au loup depuis 2023, sans exception défavorables à plus de 90 % au différents projets visés, n’ont pas empêché l’état de faire à sa guise pour satisfaire uniquement politiquement une très petite minorité des Français. De plus le seuil de déclenchement des autorisations de tir (une attaque dans les douze derniers mois donnant lieu à au moins une victime indemnisable) est très bas et ne suffit pas à répondre à la condition de « dommages importants aux troupeaux domestiques » justifiant une dérogation Enfin, l’effarouchement des loups y compris par des tirs non létaux, qui est une autre solution satisfaisante si les mesures de protection ne suffisent pas à éviter les déprédations, devrait être un préalable obligatoire aux tirs de défense. Après l’avoir été dans les premiers arrêtés fixant les conditions et de limites de destruction de loups, il n’est désormais plus mentionné que comme une simple possibilité. L’absence d’autre solution satisfaisante n’est donc pas démontrée. De plus, la mobilisation des lieutenants de louveterie en remplacement des agents de l’OFB est aussi une preuve supplémentaire que l’état souhaite détruire les loups. Il serait également indispensable de dresser le bilan des mesures de protection des bovins mises en œuvre à titre expérimental ou non. Cette action est pourtant incluse dans le PNA 2024-2029 loup et activités d‘élevage et engage des fonds conséquents. Au lieu de faciliter encore et toujours les tirs du loup, alors que l’efficacité de ces tirs n’est toujours pas prouvée, l’Etat devrait élaborer un ""schéma de protection techniquement validé"" pour les élevages bovins, en lien avec les professionnels, les parties prenantes et en tenant compte des expériences et pratiques dans d’autres pays, comme cela a été fait pour l’élevage ovin depuis des années déjà. Enfin, cette énième consultation publique est le préalable à un énième déni de démocratie et d’atteinte à la biodiversité en faisant du loup un bouc émissaire."
Avis favorable , le 2 juin 2025 à 21h36;Avis favorable ça ne peut pas être autrement
Avis, le 2 juin 2025 à 21h42;En tant qu’eleveuse je suis totalement pour cet arrêté.
Défavorable, le 1er juin 2025 à 16h01;"Ce projet d’arrêté ne prévoit pas de mesures d’effarouchement comme préalable aux tirs létaux. L’énoncé des ""limites"" est vague. Il serait nécessaire de se fonder sur des études scientifiques au lieu de laisser un flou hélas pas artistique sur le devenir du loup."
DEFAVORABLE, le 1er juin 2025 à 16h20;Je m’oppose avec force à ce projet d’arrêté, qui camoufle mal son objectif : offrir un passe-droit à quelques intérêts privés réfractaires au moindre effort de cohabitation avec la faune sauvage. On prétend que les bovins ne sont pas protégeables. Faux : les rapports officiels (IGEDD/CGAAER, 2023) et les pratiques européennes prouvent le contraire. Mais visiblement, quand les faits dérangent, on les range. Et hop, on sort les fusils. On prévoit aussi des « analyses technico-économiques » sans aucun cadre sérieux, histoire de faire dire aux chiffres ce qu’on veut, surtout quand ça arrange les maniaques du plomb. La CJUE (2024) rappelle pourtant qu’un peu d’adaptation, même coûteuse, ne justifie pas de zigouiller une espèce protégée.
AVIS FAVORABLE AUX DÉROGATIONS (Destruction du loup)., le 1er juin 2025 à 16h22;"Arrivé par expansion du ""canis lupus"" de l’Italie en France, longtemps sous évalué puis toujours avec des comptages variables d’une année sur l’autre, le loup est présent actuellement sur une grande partie de la France (jusqu’en Bretagne, Nord de la France, Aquitaine, Massif central…). Animal prédateur disparu de France depuis la fin du 19éme siècle ! C’est un prédateur important des moutons, chèvres, bovins, équidés… Les élevages sont ""visités"" par le loup qui tue chaque fois plusieurs animaux et blesse bon nombre d’animaux dans le même champs. Il serait intelligent de faire participer les écologistes et leurs ONG représentantes à l’indemnisation des pertes (Les associations de défense reçoivent des aides diverses et variées… Et même du Gouvernement) ! AVIS FAVORABLE aux tirs directs sur le loup et l’effarouchement."
Avis défavorable, le 2 juin 2025 à 11h44;Va à l’encontre des recommandation et avis des scientifique et expert ( avis défavorable du CNPN !)
avis favorable, le 1er juin 2025 à 10h53;avis favorable au projet d’arrêté.la protection du loup  doit être mise en parallèle du maintien de l’élevage notamment extensif . le bien être animal concerne aussi les animaux d’élevage . les mesures de protection ( rentrée des animaux tous les soirs, parcage électrique ) ne convient pas aux pratiques de l’élevage bovin et équin . les propriétaire d’animaux ne peuvent assurer a eux seuls la défense de leur cheptel. La dispersion du loup aujourd’hui sur pratiquement tout le territoire Français va faire exploser les attaques et les pertes d’animaux , le budget concernant les indemnisations ne pourra pas suivre . il faut donc mettre en place des moyens de régulation efficaces et des moyens d’effarouchement accessibles et rapides. ce n’est pas L’OFB ni les louvetiers qui pourront être présent sur tous les troupeaux en même temps sauf à avouer que l’élevage extensif doit disparaitre au profit des méga élevage industriels .
Arrêté modifiant l’arrêté du 21/02/2024., le 2 juin 2025 à 08h59;Avis favorable Aux tirs de destruction du loup s’il est reconnu d’une trop forte population. Les tirs de dissuasion et d’effarouchement sont devenus obsolètes. D’où viennent ces animaux d’un coup d’un seul arrivés sur les territoires du Nord Est, n’ont-ils été relâchés ? C’est à ce demander ! Il est anormal d’en arriver à ce stade, je vous rappelle que nous sommes au 21ème siècle !
AVIS DÉFAVORABLE , le 2 juin 2025 à 11h35;Alors que le CNPN emet un avis défavorable a votre projet de modification, vous persistez a vouloir aneantir les Loups.  Il est totalement FAUX que certains troupeaux ne peuvent etre protegés. Î faut cependant vouloir le faire ET essayer les moyens de protection (cf ceux qui l’ont fait et réussissent). Cordialement
Avis défavorable , le 2 juin 2025 à 11h40;Avis défavorable, des moyens existent pour protéger les troupeaux (peu d’attaque comparé au passage à l’abattoir d’ailleurs…)
Projet d’arrêté modifiant l’arrêté du 21 février 2094, le 29 mai 2025 à 11h33;Je donne un avis favorable à ce projet . Il faut absolument en finir au plus vite avec ce ces loups …
Avis défavorable , le 29 mai 2025 à 16h02;Des solutions autres existent. A condition qu’il y ait une volonté politique de préservation et non de destruction systématique d’une espèce protégée.
Avis favorable , le 27 mai 2025 à 17h38;Tout éleveur, dès lors qu’il a fait le nécessaire pour protéger ses animaux doit être autorisé à réaliser des tirs de défense ou en demander. On ne peut pas à la fois être en faveur d’un élevage extensif de plein air pour le bien-être et la qualité des animaux et leur laisser courir un danger de prédation.
Favorable, le 28 mai 2025 à 15h08;L’éleveur doit pouvoir protéger son troupeau
Défavorable , le 28 mai 2025 à 15h19;Défavorable pour la mort du loup. Il y a beaucoup de moyens mis pour protéger les troupeaux.
Avis très DÉFAVORABLE, le 28 mai 2025 à 15h21;Le loup est nécessaire à la Nature et à la Biodiversité. Aidez les éleveurs de troupeaux à mieux protéger leurs animaux me semblerait plus judicieux que de leur permettre d’abattre les loups que la Nature régule naturellement si on veut bien la laisser le faire.
Avis défavorable., le 28 mai 2025 à 15h28;Avis défavorable. Il existe des moyens de protection des troupeaux. Le loup est nécessaire à la biodiversité et doit être mieux protégé.
non, le 28 mai 2025 à 09h17;non à l’abattage de qq dizaines ou centaines de loups qui font beaucoup, beaucoup moins de dégats à la faune que 66 millions d’humains qui sont de très loin le plus grand prédateur. J’ai honte d’être une humaine.
Defavorable, le 28 mai 2025 à 09h27;Il n’y a pas plus important dans le monde que de détruire le vivant ? Au lieu de toujours vouloir tuer encore et toujours plus on ne pourrait pas faire en sorte de protéger ce qu’il reste de notre hôte, la planète terre ?
Avis DEFAVORABLE au projet d’arrêté concernant les dérogations aux interdictions de destruction du loup., le 28 mai 2025 à 09h31;Des moyens de protection existent ! Il faut obliger les éleveurs à les utiliser.  Le problème est que les troupeaux sont laissés sans surveillance.    La seule solution trouvée par la France est toujours la même : Tuerie générale ! Le loup est une espèce protégée, il doit pouvoir vivre sans être traqué en permanence. Arrêtez de détruire le Vivant : la biodiversité s’effondre dans l’indifférence générale. TOUT CELA EST EFFRAYANT ET SCANDALEUX !!!
